timestamp,year,month,blockchain,contract_address,symbol,decimals,price
2025-03-10 13:00:00.000 UTC,2025,3,base,0xb6fe221fe9eef5aba221c348ba20a1bf5e73624c,rETH,18,2363.2444
2025-03-10 13:00:00.000 UTC,2025,3,base,0x2ae3f1ec7f1f5012cfeab0185bfc7aa3cf0dec22,cbETH,18,2303.34
2025-03-10 13:00:00.000 UTC,2025,3,base,0x60a3e35cc302bfa44cb288bc5a4f316fdb1adb42,EURC,6,1.0858908
2025-03-10 13:00:00.000 UTC,2025,3,base,0x35e5db674d8e93a03d814fa0ada70731efe8a4b9,USR,18,1.0006157
2025-03-10 13:00:00.000 UTC,2025,3,base,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,USDC,6,1.0008079
2025-03-10 13:00:00.000 UTC,2025,3,base,0xc1cba3fcea344f92d9239c08c0568f6f2f0ee452,wstETH,18,2526.6382
2025-03-10 13:00:00.000 UTC,2025,3,base,0x820c137fa70c8691f0e44dc420a5e53c168921dc,USDS,18,1.0029552
2025-03-10 13:00:00.000 UTC,2025,3,base,0xcbb7c0000ab88b473b1f5afd9ef808440eed33bf,cbBTC,8,82632.05
2025-03-10 13:00:00.000 UTC,2025,3,base,0x940181a94a35a4569e4529a3cdfb74e38fd98631,AERO,18,0.5753627
2025-03-10 13:00:00.000 UTC,2025,3,base,0x4200000000000000000000000000000000000006,WETH,18,2112.5435
2025-03-10 13:00:00.000 UTC,2025,3,base,0x04c0599ae5a44757c0af6f9ec3b93da8976c150a,weETH.base,18,2241.622
2025-03-10 12:00:00.000 UTC,2025,3,base,0xb6fe221fe9eef5aba221c348ba20a1bf5e73624c,rETH,18,2391.61
2025-03-10 12:00:00.000 UTC,2025,3,base,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,USDC,6,1.0006453
2025-03-10 12:00:00.000 UTC,2025,3,base,0x2416092f143378750bb29b79ed961ab195cceea5,ezETH,18,2204.1145
2025-03-10 12:00:00.000 UTC,2025,3,base,0xc1cba3fcea344f92d9239c08c0568f6f2f0ee452,wstETH,18,2538.729
2025-03-10 12:00:00.000 UTC,2025,3,base,0x04c0599ae5a44757c0af6f9ec3b93da8976c150a,weETH.base,18,2254.01
2025-03-10 12:00:00.000 UTC,2025,3,base,0x940181a94a35a4569e4529a3cdfb74e38fd98631,AERO,18,0.58426857
2025-03-10 12:00:00.000 UTC,2025,3,base,0x2ae3f1ec7f1f5012cfeab0185bfc7aa3cf0dec22,cbETH,18,2316.1558
2025-03-10 12:00:00.000 UTC,2025,3,base,0x820c137fa70c8691f0e44dc420a5e53c168921dc,USDS,18,1.0012244
2025-03-10 12:00:00.000 UTC,2025,3,base,0x35e5db674d8e93a03d814fa0ada70731efe8a4b9,USR,18,1.0004478
2025-03-10 12:00:00.000 UTC,2025,3,base,0x60a3e35cc302bfa44cb288bc5a4f316fdb1adb42,EURC,6,1.0858811
2025-03-10 12:00:00.000 UTC,2025,3,base,0x4200000000000000000000000000000000000006,WETH,18,2122.9143
2025-03-10 12:00:00.000 UTC,2025,3,base,0xcbb7c0000ab88b473b1f5afd9ef808440eed33bf,cbBTC,8,83320.86
2025-03-10 11:00:00.000 UTC,2025,3,base,0x60a3e35cc302bfa44cb288bc5a4f316fdb1adb42,EURC,6,1.0851853
2025-03-10 11:00:00.000 UTC,2025,3,base,0x820c137fa70c8691f0e44dc420a5e53c168921dc,USDS,18,0.9998217
2025-03-10 11:00:00.000 UTC,2025,3,base,0x940181a94a35a4569e4529a3cdfb74e38fd98631,AERO,18,0.58082724
2025-03-10 11:00:00.000 UTC,2025,3,base,0x2416092f143378750bb29b79ed961ab195cceea5,ezETH,18,2197.7656
2025-03-10 11:00:00.000 UTC,2025,3,base,0x04c0599ae5a44757c0af6f9ec3b93da8976c150a,weETH.base,18,2238.8274
2025-03-10 11:00:00.000 UTC,2025,3,base,0x4200000000000000000000000000000000000006,WETH,18,2111.0073
2025-03-10 11:00:00.000 UTC,2025,3,base,0xb6fe221fe9eef5aba221c348ba20a1bf5e73624c,rETH,18,2390.0386
2025-03-10 11:00:00.000 UTC,2025,3,base,0xc1cba3fcea344f92d9239c08c0568f6f2f0ee452,wstETH,18,2524.2886
2025-03-10 11:00:00.000 UTC,2025,3,base,0x2ae3f1ec7f1f5012cfeab0185bfc7aa3cf0dec22,cbETH,18,2305.166
2025-03-10 11:00:00.000 UTC,2025,3,base,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,USDC,6,1.0005397
2025-03-10 11:00:00.000 UTC,2025,3,base,0x35e5db674d8e93a03d814fa0ada70731efe8a4b9,USR,18,1.0005533
2025-03-10 11:00:00.000 UTC,2025,3,base,0xcbb7c0000ab88b473b1f5afd9ef808440eed33bf,cbBTC,8,82773.7
2025-03-10 10:00:00.000 UTC,2025,3,base,0x60a3e35cc302bfa44cb288bc5a4f316fdb1adb42,EURC,6,1.086652
2025-03-10 10:00:00.000 UTC,2025,3,base,0x2ae3f1ec7f1f5012cfeab0185bfc7aa3cf0dec22,cbETH,18,2285.6423
2025-03-10 10:00:00.000 UTC,2025,3,base,0x4200000000000000000000000000000000000006,WETH,18,2093.5
2025-03-10 10:00:00.000 UTC,2025,3,base,0x820c137fa70c8691f0e44dc420a5e53c168921dc,USDS,18,1.0013558
2025-03-10 10:00:00.000 UTC,2025,3,base,0xc1cba3fcea344f92d9239c08c0568f6f2f0ee452,wstETH,18,2503.3757
2025-03-10 10:00:00.000 UTC,2025,3,base,0x940181a94a35a4569e4529a3cdfb74e38fd98631,AERO,18,0.5784727
2025-03-10 10:00:00.000 UTC,2025,3,base,0x2416092f143378750bb29b79ed961ab195cceea5,ezETH,18,2170.5198
2025-03-10 10:00:00.000 UTC,2025,3,base,0x04c0599ae5a44757c0af6f9ec3b93da8976c150a,weETH.base,18,2226.2246
2025-03-10 10:00:00.000 UTC,2025,3,base,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,USDC,6,1.0006765
2025-03-10 10:00:00.000 UTC,2025,3,base,0xb6fe221fe9eef5aba221c348ba20a1bf5e73624c,rETH,18,2359.6606
2025-03-10 10:00:00.000 UTC,2025,3,base,0xcbb7c0000ab88b473b1f5afd9ef808440eed33bf,cbBTC,8,82282.14
2025-03-10 10:00:00.000 UTC,2025,3,base,0x35e5db674d8e93a03d814fa0ada70731efe8a4b9,USR,18,1.000485
2025-03-10 09:00:00.000 UTC,2025,3,base,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,USDC,6,1.0006206
2025-03-10 09:00:00.000 UTC,2025,3,base,0x60a3e35cc302bfa44cb288bc5a4f316fdb1adb42,EURC,6,1.080088
2025-03-10 09:00:00.000 UTC,2025,3,base,0x940181a94a35a4569e4529a3cdfb74e38fd98631,AERO,18,0.58013356
2025-03-10 09:00:00.000 UTC,2025,3,base,0x820c137fa70c8691f0e44dc420a5e53c168921dc,USDS,18,1.0006622
